"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.141870792E0,3.438810383E-1,-1.584546325E0,-4.455779471E0
3.151841792E0,1.210678426E-1,-1.700476731E0,-4.412914703E0
3.161813792E0,-6.812188961E-2,-1.682788027E0,-4.178640161E0
3.171784792E0,-1.909104947E-1,-1.524477879E0,-3.837907702E0
3.181756917E0,-2.336344549E-1,-1.239468800E0,-3.522089059E0
3.191727917E0,-1.382806202E-1,-8.286826050E-1,-3.318434047E0
3.201699917E0,-8.828290645E-2,-4.182712162E-1,-3.198777210E0
3.211670917E0,-1.142575905E-1,2.988219559E-2,-3.124776603E0
3.221642917E0,-2.036540627E-1,4.974246821E-1,-3.071514316E0
3.231613917E0,-3.403393432E-1,9.317573225E-1,-2.943717570E0
3.241584917E0,-4.951872085E-1,1.298698464E0,-2.651598278E0
3.251556917E0,-5.237851728E-1,1.613167569E0,-2.196914111E0
3.261527917E0,-5.176234500E-1,1.826708469E0,-1.584890141E0
3.271499917E0,-5.946175757E-1,2.012663375E0,-8.303367823E-1
3.281470917E0,-7.092217965E-1,2.081496798E0,-1.326177746E-1
3.291442917E0,-8.191054505E-1,2.043606548E0,5.073482841E-1
3.301413917E0,-8.636754864E-1,2.116706392E0,1.102722307E0
3.311385917E0,-9.684173913E-1,2.363093149E0,1.607789592E0
3.321356917E0,-1.235075641E0,2.584224320E0,1.958297426E0
3.331327917E0,-1.497627026E0,2.710308708E0,2.221244960E0
3.341299917E0,-1.748682493E0,2.638442335E0,2.376445851E0
3.351270917E0,-2.054188254E0,2.480661652E0,2.568899937E0
3.361242917E0,-2.374015017E0,2.295497290E0,2.838074756E0
3.371213917E0,-2.517576294E0,2.150377291E0,2.979230635E0
3.381185917E0,-2.524170784E0,2.112912426E0,3.148837895E0
3.391156917E0,-2.633137156E0,2.088280445E0,3.611840896E0
3.401128917E0,-3.026054845E0,1.955724944E0,4.379749296E0
3.411099917E0,-3.539100949E0,1.615951136E0,5.323185847E0
3.421070917E0,-3.836763109E0,1.056129646E0,6.232718487E0
3.431042917E0,-3.845914586E0,4.046694231E-1,7.047935539E0
3.441013917E0,-3.620663760E0,-1.779717028E-1,7.648201928E0
3.450985917E0,-3.305842945E0,-5.979196081E-1,7.906633657E0
3.460956917E0,-3.007037946E0,-8.042011902E-1,7.707250035E0
3.470928917E0,-2.756209643E0,-8.087129018E-1,6.977888820E0
3.480899917E0,-2.468145103E0,-7.084141499E-1,5.877322966E0
3.490870917E0,-2.193347309E0,-5.609219357E-1,4.815760964E0
3.500842917E0,-1.983333449E0,-3.469492185E-1,3.998269930E0
3.510813917E0,-1.851839217E0,-1.480368823E-1,3.341610070E0
3.520785917E0,-1.724451631E0,-6.482369453E-2,2.832329866E0
3.530756917E0,-1.556828184E0,-1.470542577E-1,2.538146507E0
3.540728917E0,-1.403225776E0,-3.493521318E-1,2.390505481E0
3.550699917E0,-1.351083961E0,-5.777516842E-1,2.169733329E0
3.560671917E0,-1.303238096E0,-7.352370822E-1,1.703176391E0
3.570642917E0,-1.283294120E0,-7.626748493E-1,1.005550938E0
3.580613917E0,-9.780255360E-1,-7.757381138E-1,1.099171293E-1
3.590585917E0,-6.914936234E-1,-6.987364233E-1,-5.288970280E-1
3.600556917E0,-4.562134696E-1,-8.119051892E-1,-9.783251327E-1
3.610528917E0,-3.109365097E-1,-9.711564463E-1,-1.300082792E0
3.620499917E0,-3.269777611E-1,-1.102542505E0,-1.505213642E0
3.630471917E0,-4.413554023E-1,-1.164735245E0,-1.637471813E0
3.640442917E0,-5.282720337E-1,-1.316057385E0,-1.870749990E0
3.650414917E0,-3.736557913E-1,-1.531068276E0,-2.205067468E0
3.660385917E0,-1.690165824E-1,-1.653722979E0,-2.494907516E0
3.670356917E0,-3.636578017E-2,-1.768552939E0,-2.778016834E0
3.680328917E0,3.545694927E-2,-1.827800144E0,-2.979583806E0
3.690299917E0,4.239636999E-2,-1.725487611E0,-3.004665438E0
3.700271917E0,-5.932009416E-3,-1.468149312E0,-3.076120752E0
3.710242917E0,-1.288476727E-1,-1.271180882E0,-3.133428143E0
3.720214917E0,-2.179063585E-1,-1.113901598E0,-2.905506601E0
3.730185917E0,-8.434296118E-2,-1.221652627E0,-2.801405697E0
3.740157917E0,1.900723329E-2,-1.500129488E0,-2.726934974E0
3.750128917E0,9.957543304E-2,-1.746024494E0,-2.622518320E0
3.760099917E0,2.722138356E-1,-1.874491331E0,-2.619391229E0
3.770071917E0,4.166089624E-1,-1.961686472E0,-2.551938919E0
3.780042917E0,6.152688816E-1,-2.151443823E0,-2.313084837E0
3.790014917E0,4.197041860E-1,-2.145199289E0,-2.005548776E0
3.799985917E0,9.051855281E-4,-1.861162310E0,-1.938714516E0
3.809957917E0,-1.204343333E-1,-1.641541183E0,-1.904914686E0
3.819928917E0,-1.631293499E-1,-1.406461771E0,-1.743643801E0
3.829899917E0,-5.805331316E-2,-1.144791854E0,-1.435478579E0
3.839871917E0,1.175048418E-1,-7.876512310E-1,-9.806815606E-1
3.849842917E0,3.604347982E-1,-6.026160917E-1,-6.238370991E-1
3.859814917E0,4.405037553E-1,-5.993735182E-1,-3.507002074E-1
